iter	MAPE	RMSE
0	0.04149537182	0.6396695115
1	0.04051783822	0.6249944602
2	0.03956058293	0.610918201
3	0.03863230355	0.597229778
4	0.03771221175	0.5836021935
5	0.03683096771	0.5703885223
6	0.03599862632	0.5580207732
7	0.03516980146	0.545539297
8	0.03438118562	0.5338380778
9	0.03367432113	0.5233048653
10	0.03291880094	0.5122142455
11	0.032295534	0.5034307533
12	0.03161871329	0.4935069937
13	0.03094539568	0.4835320698
14	0.0303013605	0.4738920028
15	0.02967276357	0.4645448798
16	0.02908978696	0.4558399905
17	0.02848718408	0.4467548222
18	0.02792385419	0.4381481642
19	0.0273823948	0.4299487957
20	0.02686609465	0.4221305837
21	0.02635922193	0.4143973673
22	0.02589705475	0.4073955807
23	0.02541909853	0.400219917
24	0.02495592371	0.3932355054
25	0.0245159027	0.3865931433
26	0.02408307771	0.3800298162
27	0.02368819991	0.3742023405
28	0.02331588583	0.3685867622
29	0.02294321121	0.3631195377
30	0.02256858983	0.3575649037
31	0.02223513963	0.3524532492
32	0.02188004531	0.347018803
33	0.0215540349	0.342166629
34	0.02123347805	0.3372995946
35	0.02091473071	0.3324889839
36	0.02063316106	0.3281503648
37	0.02032875593	0.3235181743
38	0.02005210485	0.3192846365
39	0.01977998209	0.315158204
40	0.01953197812	0.3113335221
41	0.01928304744	0.3075622772
42	0.01903917781	0.3039366923
43	0.01881271259	0.3005549912
44	0.01858722297	0.2971911043
45	0.01837468822	0.2939053099
46	0.01817176485	0.2908738398
47	0.01796584297	0.2876879539
48	0.01776600977	0.2847316686
49	0.01755505201	0.2816359571
50	0.01737986715	0.2789707341
51	0.01722225678	0.2766344282
52	0.01705709363	0.2741127424
53	0.0168898859	0.2716396399
54	0.01672863444	0.2691482916
55	0.01656559415	0.2666859981
56	0.0164165017	0.2644597765
57	0.01627990531	0.2623728641
58	0.01614521887	0.2603737094
59	0.01600947905	0.2583199562
60	0.01589443785	0.2565600862
61	0.0157710784	0.2546220273
62	0.01565224918	0.2528657725
63	0.01552415218	0.2508830118
64	0.0154166734	0.2492457781
65	0.01531726104	0.247697572
66	0.01520188029	0.2459451996
67	0.0151057313	0.2444071523
68	0.01500384607	0.2429010857
69	0.0149193612	0.2415953359
70	0.01483380917	0.2403779251
71	0.01475242711	0.2391987779
72	0.01466069809	0.2377820068
73	0.01458371781	0.2366893024
74	0.01450012046	0.235444229
75	0.01442220824	0.2342875689
76	0.0143465808	0.2332364599
77	0.01426855245	0.231974771
78	0.01419787063	0.2308875355
79	0.01413954764	0.2300317494
80	0.01409631469	0.2294088007
81	0.01403116067	0.2283970027
82	0.01398291942	0.2275998356
83	0.01391237937	0.2264773738
84	0.01386237513	0.2257391153
85	0.01381322513	0.2249664628
86	0.0137577439	0.2241590252
87	0.01370100889	0.2233414238
88	0.01364982454	0.2225274242
89	0.01360149939	0.2218358069
90	0.01355506792	0.2211623611
91	0.01350988811	0.2204362874
92	0.01345910293	0.2195311422
93	0.0134056403	0.2187031853
94	0.01336485921	0.2180481707
95	0.01332141871	0.21726467
96	0.01328009562	0.2166055274
97	0.01323830086	0.2159447686
98	0.01320321425	0.2154236774
99	0.01316311003	0.2147566453
100	0.01312180865	0.2141402495
101	0.01308126438	0.2135852026
102	0.01304346743	0.2129725167
103	0.01301014571	0.212412246
104	0.01297373063	0.2118669793
105	0.012945377	0.2114016565
106	0.01291265928	0.2109383246
107	0.01288180965	0.2104485006
108	0.01285326844	0.2100392025
109	0.01281571415	0.2094106135
110	0.01278401282	0.2089666991
111	0.01275727709	0.2084849034
112	0.01272937916	0.2080983023
113	0.01270247887	0.207705739
114	0.01267295926	0.20720233
115	0.01264931222	0.206840351
116	0.01262629009	0.2064595532
117	0.0126008542	0.2060716416
118	0.01257202131	0.2055981243
119	0.01254182677	0.2051438775
120	0.01251185418	0.2046394013
121	0.012490247	0.2043269326
122	0.01246603699	0.2039819707
123	0.01244158155	0.20356687
124	0.0124173934	0.20319473
125	0.01239799761	0.2029053857
126	0.0123810053	0.2026545494
127	0.01236575244	0.2023815001
128	0.01234587848	0.2020360465
129	0.01231981801	0.2016276491
130	0.01229760475	0.2013035546
131	0.01228188921	0.2010065564
132	0.01226721598	0.2007874493
133	0.01225458044	0.200614525
134	0.01223303182	0.2002800083
135	0.01221051338	0.199938743
136	0.01219176656	0.1996332844
137	0.0121740262	0.1993785952
138	0.01215737687	0.1991289012
139	0.01213247807	0.1986651139
140	0.01211878327	0.1984671816
141	0.0121019778	0.1982417091
142	0.01208335173	0.19791459
143	0.01205788764	0.1974849753
144	0.01203927204	0.1971813847
145	0.0120205088	0.1969016689
146	0.01200791712	0.1967245868
147	0.01199326585	0.1964930308
148	0.01197139397	0.1961344264
149	0.01195010507	0.1957666758
150	0.01193442507	0.1954747123
151	0.01192057577	0.1952921168
152	0.01190070592	0.1950236728
153	0.01188765904	0.1948488078
154	0.01187406651	0.1946583782
155	0.01185659747	0.194366121
156	0.01183120458	0.1940067957
157	0.01180927657	0.1936892483
158	0.01179359968	0.1934613492
159	0.01177035436	0.1931023091
160	0.01176046725	0.1929618154
161	0.01174338247	0.192645153
162	0.01172539945	0.1923206833
163	0.01171252005	0.192133794
164	0.01170267754	0.1919850315
165	0.01168678517	0.1916973637
166	0.01166591853	0.1913529244
167	0.01164633998	0.1910332216
168	0.0116258693	0.1907249754
169	0.01161277523	0.190511881
170	0.01160085097	0.1903245334
171	0.01158245984	0.190061854
172	0.01157089902	0.1898791483
173	0.01155783652	0.1896764723
174	0.0115479539	0.189525808
175	0.01154016918	0.1894156102
176	0.01153239867	0.1892941117
177	0.01151958047	0.1890951504
178	0.01150845048	0.1889092318
179	0.01148931174	0.1886089408
180	0.0114746089	0.1883599885
181	0.01146159904	0.1881731815
182	0.01144518112	0.1878874622
183	0.01141961291	0.18744176
184	0.01140895899	0.1872661399
185	0.0114009259	0.1871364741
186	0.01138913648	0.1869784726
187	0.01137938095	0.1868283104
188	0.01136813787	0.1866636453
189	0.01135539131	0.1864566052
190	0.01134232299	0.1862465143
191	0.01133282643	0.1861057945
192	0.01132333196	0.185952933
193	0.01131459509	0.1858276729
194	0.01130656694	0.1857202035
195	0.01129581452	0.1855545144
196	0.01128709971	0.1853896938
197	0.01127225264	0.185139608
198	0.01126438425	0.1850273
199	0.01125360661	0.1848748269
